Epoch 211 :(mp, mr, map50, map ,*Loss )     0.6611      0.6177       0.628      0.3982           0           0           0 
Epoch 212 :(mp, mr, map50, map ,*Loss )     0.7112      0.5883      0.6276      0.3999           0           0           0 
Epoch 213 :(mp, mr, map50, map ,*Loss )      0.686      0.6294      0.6267      0.3948           0           0           0 
Epoch 214 :(mp, mr, map50, map ,*Loss )     0.7187      0.6012      0.6403      0.4009           0           0           0 
Epoch 215 :(mp, mr, map50, map ,*Loss )     0.7242      0.6057      0.6388       0.401           0           0           0 
Epoch 216 :(mp, mr, map50, map ,*Loss )     0.6704      0.6466      0.6371      0.3981           0           0           0 
Epoch 217 :(mp, mr, map50, map ,*Loss )     0.7106      0.5954      0.6245      0.3917           0           0           0 
Epoch 218 :(mp, mr, map50, map ,*Loss )     0.6975      0.6229      0.6294      0.3926           0           0           0 
Epoch 219 :(mp, mr, map50, map ,*Loss )     0.7296      0.5867      0.6339       0.398           0           0           0 
Epoch 220 :(mp, mr, map50, map ,*Loss )     0.7134      0.5948       0.632      0.3959           0           0           0 
Epoch 221 :(mp, mr, map50, map ,*Loss )     0.6929      0.5992      0.6249      0.3918           0           0           0 
Epoch 222 :(mp, mr, map50, map ,*Loss )     0.6872      0.6011      0.6313      0.3952           0           0           0 
Epoch 223 :(mp, mr, map50, map ,*Loss )     0.7245      0.5809      0.6304      0.3948           0           0           0 
Epoch 224 :(mp, mr, map50, map ,*Loss )      0.735      0.5753      0.6266       0.393           0           0           0 
Epoch 225 :(mp, mr, map50, map ,*Loss )     0.6969      0.5982      0.6297      0.3939           0           0           0 
Epoch 226 :(mp, mr, map50, map ,*Loss )     0.7058      0.6202       0.636       0.394           0           0           0 
Epoch 227 :(mp, mr, map50, map ,*Loss )      0.723      0.5893      0.6317      0.3922           0           0           0 
Epoch 228 :(mp, mr, map50, map ,*Loss )     0.7392      0.5737      0.6297      0.3952           0           0           0 
Epoch 229 :(mp, mr, map50, map ,*Loss )     0.7499      0.5586      0.6236      0.3917           0           0           0 
Epoch 230 :(mp, mr, map50, map ,*Loss )     0.7125      0.6017      0.6343      0.3961           0           0           0 
